Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"Banco Santander, S.A.",891478,SAN,NYSE,132617929,"CIUDAD GRUPO SANTANDER","BOADILLA DEL MONTE",MADRID,,U3,SPAIN,Foreign,28660,"34 91 289 32 80",U3,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Auditores SL",117,SPAIN,"119,501,355","6,744,345",0,0,"526,902",,,"5,058,258","12,329,505","131,830,859",USD,Uncertain,,0,2022-12-31,2022,12,1231,,,20-F,2023-03-01,2.98,2022-12-29,"51,675,111,424",2022-12-31,"42,983,000,000","7,476,000,000","465,304,000,000","1,851,330,000,000"
"HSBC HOLDINGS PLC",1089113,HSBC,NYSE,000000000,"8 CANADA SQUARE",,LONDON,,X0,"UNITED KINGDOM",Foreign,E145HQ,442079913048,X0,,,6035,"Savings Institutions, Federally Chartered",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP",121,"UNITED KINGDOM","97,600,000","1,600,000",0,0,0,,,0,"1,600,000","99,200,000",USD,Yes,,0,2022-12-31,2022,12,1231,,,20-F,2023-02-22,31.21,2022-12-29,"128,781,950,976",2022-12-31,"60,382,000,000","16,670,000,000","166,163,000,000","2,966,530,000,000"
"MITSUBISHI UFJ FINANCIAL GROUP INC",67088,MUFG,NYSE,000000000,"4-5, MARUNOUCHI 1-CHOME",CHIYODA-KU,TOKYO,,M0,JAPAN,Foreign,100-8330,"(212) 530-1784",M0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"Deloitte & Touche LLP",3,"Deloitte Touche Tohmatsu LLC",19,JAPAN,"86,542,769","2,333,698",0,0,"1,166,849",,,0,"3,500,546","90,043,316",USD,Yes,,0,2022-03-31,2022,03,0331,,,20-F,2022-07-08,6.49,2022-03-29,"88,147,148,800",2022-03-31,"21,840,000,000","-686,000,000","116,604,000,000","3,029,042,000,000"
"CREDIT SUISSE GROUP AG",1159510,,PINX,000000000,"PARADEPLATZ 8",,ZURICH,,V8,SWITZERLAND,Foreign,*,"1 919 994 1161",V8,,,6211,"Security Brokers, Dealers, and Flotation Companies",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers AG",119,SWITZERLAND,"80,079,319","1,572,238",0,0,"209,632",,,0,"1,781,870","81,861,189",USD,Yes,,0,2022-12-31,2022,12,1231,,,20-F,2023-03-14,3.12,2022-12-29,"8,017,415,680",2022-12-31,"16,111,000,000","-7,883,000,000","45,145,000,000","574,317,000,000"
"GOLDMAN SACHS GROUP INC",886982,GS,NYSE,134019460,"200 WEST STREET",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10282,"(212) 902-1000",DE,,,6211,"Security Brokers, Dealers, and Flotation Companies",523110,"Investment Banking and Securities Dealing",34,"PricewaterhouseCoopers LLP",1,,,,"78,100,000","15,000,000",0,0,"2,100,000","200,000","1,900,000",0,"17,100,000","95,200,000",USD,,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-17,343.43,2022-12-29,"116,297,277,440",2022-12-31,"44,650,000,000","11,261,000,000",,"1,441,799,000,000"
"CITIGROUP INC",831001,C,NYSE,521568099,"388 GREENWICH STREET",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10013,"(212) 559-1000",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"77,700,000","20,000,000",0,0,"5,200,000","5,200,000",,0,"25,200,000","102,900,000",USD,Yes,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-15,45.23,2022-12-31,"87,609,892,864",2022-12-31,"70,526,000,000","14,845,000,000","177,070,000,000","2,416,676,000,000"
"Raphael Pharmaceutical Inc.",1415397,RAPH,OTCQB,260204284,"SUITE 105 - 5348 VEGAS DR.",,"LAS VEGAS",Clark,NV,NEVADA,"US West",89108,"(702) 442-1166",NV,,,2833,"Medicinal Chemicals and Botanical Products",335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing",34,"Deloitte & Touche LLP",3,"Brightman Almagor Zohar & Co",257,ISRAEL,"76,500,000",0,0,0,0,,,0,0,"76,500,000",USD,,,0,2022-12-31,2022,12,1231,,,10-K,2023-03-24,,,,2022-12-31,0,"-3,358,000",,"333,000"
"BARCLAYS PLC",312069,BCS,NYSE,000000000,"1 CHURCHILL PLACE","CANARY WHARF",LONDON,,X0,"UNITED KINGDOM",Foreign,"E14 5HP",00442031340952,X0,,,6029,"Commercial Banks, NEC",521110,"Monetary Authorities - Central Bank",34,"KPMG LLP",4,"KPMG LLP",87,"UNITED KINGDOM","71,745,314","13,606,870",0,0,0,,,"2,473,976","16,080,846","87,826,160",USD,Yes,,0,2022-12-31,2022,12,1231,,,20-F,2023-02-15,7.8,2022-12-29,"32,667,291,648",2022-12-31,"32,207,000,000","7,185,000,000","72,238,000,000","1,820,838,000,000"
"JPMORGAN CHASE & CO",19617,JPM,NYSE,132624428,"383 MADISON AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10017,"(212) 270-6000",DE,,,6021,"National Commercial Banks",523110,"Investment Banking and Securities Dealing",34,"PricewaterhouseCoopers LLP",1,,,,"71,000,000","26,600,000",0,0,"5,000,000","4,900,000","100,000",0,"31,600,000","102,600,000",USD,Yes,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-04-04,133.22,2022-12-29,"390,761,545,728",2022-12-31,"122,306,000,000","37,676,000,000","231,473,000,000","3,665,743,000,000"
"Shell plc",1306965,SHEL,NYSE,000000000,"SHELL CENTRE","2 YORK ROAD",LONDON,,X0,"UNITED KINGDOM",Foreign,"SE1 7NA",044-20-7934-1234,DC,,,1311,"Crude Petroleum and Natural Gas",213112,"Support Activities for Oil and Gas Operations",34,"Ernst & Young LLP",2,"Ernst & Young LLP",57,"UNITED KINGDOM","63,000,000","2,000,000","1,000,000",0,0,,,"3,000,000","6,000,000","69,000,000",USD,,,0,2022-12-31,2022,12,1231,,,20-F,2023-03-09,56.67,2022-12-29,"116,208,623,616",2022-12-31,"381,314,000,000","42,309,000,000","164,771,000,000","443,024,000,000"
