Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"UBS Group AG",1610520,UBS,NYSE,,"BAHNHOFSTRASSE 45",,ZURICH,,V8,SWITZERLAND,Foreign,CH-8001,41-44-234-1111,V8,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"Ernst & Young LLP",2,"Ernst & Young LTD",160,SWITZERLAND,"145,000,000","18,000,000",0,0,"3,000,000",,,"1,000,000","22,000,000","167,000,000",USD,Yes,,0,2024-12-31,2024,12,1231,,,20-F,2025-03-17,30.32,2024-12-31,"96,260,701,610",2024-12-31,"45,814,000,000","4,825,734,382",,"1,565,028,000,000"
"UBS AG",1114446,AMUB,"NYSE Arca",000000000,"BAHNHOFSTRASSE 45",,ZURICH,,V8,SWITZERLAND,Foreign,"CH 8001","(203) 719-5241",V8,1610520,"UBS Group AG",6021,"National Commercial Banks",522110,"Commercial Banking",34,"Ernst & Young LLP",2,"Ernst & Young LTD",160,SWITZERLAND,"144,000,000","18,000,000",0,0,"2,000,000",,,"1,000,000","21,000,000","165,000,000",USD,,Uncertain,0,2024-12-31,2024,12,1231,,,20-F,2025-03-17,,,,2024-12-31,"42,323,000,000","1,533,000,000","88,005,000,000","1,568,060,000,000"
"Banco Santander, S.A.",891478,SAN,NYSE,132617929,"CIUDAD GRUPO SANTANDER","BOADILLA DEL MONTE",MADRID,,U3,SPAIN,Foreign,28660,"34 91 289 32 80",U3,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Auditores SL",117,SPAIN,"130,015,794","14,722,854",0,0,"974,307",,,"8,010,965","23,708,126","153,723,920",USD,Yes,,0,2024-12-31,2024,12,1231,,,20-F,2025-02-28,4.46,2025-01-02,"72,181,293,056",2024-12-31,"47,875,000,000","12,661,000,000","525,238,000,000","1,902,311,000,000"
"HSBC HOLDINGS PLC",1089113,HSBC,NYSE,000000000,"8 CANADA SQUARE",,LONDON,,X0,"UNITED KINGDOM",Foreign,E145HQ,442079913048,X0,,,6035,"Savings Institutions, Federally Chartered",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP",121,"UNITED KINGDOM","102,800,000",0,0,0,0,,,"1,600,000","1,600,000","104,400,000",USD,Yes,,0,2024-12-31,2024,12,1231,,,20-F,2025-02-20,48.68,2025-01-02,"187,541,913,600",2024-12-31,"62,440,000,000","24,999,000,000","172,589,000,000","3,017,048,000,000"
"CITIGROUP INC",831001,C,NYSE,521568099,"388 GREENWICH STREET",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10013,"(212) 559-1000",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"90,900,000","30,600,000",0,0,"4,700,000","4,700,000",,0,"35,300,000","126,200,000",USD,Yes,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-03-18,69.94,2025-01-02,"132,275,060,736",2024-12-31,"71,132,000,000","12,682,000,000","184,804,000,000","2,352,945,000,000"
"BARCLAYS PLC",312069,BCS,NYSE,000000000,"1 CHURCHILL PLACE","CANARY WHARF",LONDON,,X0,"UNITED KINGDOM",Foreign,"E14 5HP",00442031340952,X0,,,6029,"Commercial Banks, NEC",521110,"Monetary Authorities - Central Bank",34,"KPMG LLP",4,"KPMG LLP",87,"UNITED KINGDOM","90,773,866","17,899,072",0,0,0,,,"7,671,031","25,570,103","116,343,969",USD,Yes,,0,2024-12-31,2024,12,1231,,,20-F,2025-02-13,13.13,2025-01-02,"49,744,822,272",2024-12-31,"35,576,000,000","7,960,000,000","79,586,000,000","1,901,413,000,000"
"GOLDMAN SACHS GROUP INC",886982,GS,NYSE,134019460,"200 WEST STREET",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10282,"(212) 902-1000",DE,,,6211,"Security Brokers, Dealers, and Flotation Companies",523110,"Investment Banking and Securities Dealing",34,"PricewaterhouseCoopers LLP",1,,,,"80,600,000","20,000,000",0,0,"700,000","100,000","600,000",0,"20,700,000","101,300,000",USD,,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-03-14,574.97,2025-01-02,"180,488,732,672",2024-12-31,"52,164,000,000","14,276,000,000",,"1,675,972,000,000"
"JPMORGAN CHASE & CO",19617,JPM,NYSE,132624428,"383 MADISON AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10017,"(212) 270-6000",DE,,,6021,"National Commercial Banks",523110,"Investment Banking and Securities Dealing",34,"PricewaterhouseCoopers LLP",1,,,,"78,500,000","36,000,000",0,0,"4,500,000","4,300,000","200,000",0,"40,500,000","119,000,000",USD,Yes,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-04-07,240,2025-01-02,"675,681,730,560",2024-12-31,"166,878,000,000","58,471,000,000","280,198,000,000","4,002,814,000,000"
"DEUTSCHE BANK AKTIENGESELLSCHAFT",1159508,DB,NYSE,000000000,"TAUNUSANLAGE 12","1 COLUMBUS CIRCLE, 19TH FLOOR","FRANKFURT AM MAIN",,2M,GERMANY,Foreign,60325,"(212) 250-1306",2M,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"Ernst & Young LLP",2,"EY GmbH & Co KG Wirtschaftspruefungsgesellschaft",892,GERMANY,"74,696,834","10,825,628",0,0,0,,,"1,082,563","11,908,191","86,605,025",USD,,,0,2024-12-31,2024,12,1231,,,20-F,2025-03-13,17.05,2024-12-31,"33,164,394,496",2024-12-31,"30,715,000,000","4,495,000,000","75,384,000,000","1,440,427,000,000"
"Apollo Global Management, Inc.",1858681,APO,NYSE,863155788,"9 WEST 57TH STREET, 42ND FLOOR",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10019,"(212) 515-3200",DE,,,6282,"Investment Advice",0,,34,"Deloitte & Touche LLP",3,,,,"74,456,000","3,734,000",0,0,"64,050,000","56,785,000","7,265,000",0,"67,784,000","142,240,000",USD,Uncertain,,0,2024-12-31,2024,12,1231,"S&P 500","Russell 1000","DEF 14A",2025-04-25,165.86,2025-01-02,"93,846,315,008",2024-12-31,"20,698,000,000","4,577,000,000","12,942,000,000","377,895,000,000"
