"CAM Key","CAM Topic","CAM Company Title","Audit Opinion Key","Year Ended Date","Signature Date","Auditor Key",Auditor,"Auditor Affiliate Key","Auditor Affiliate","Auditor Affiliate PCAOB","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region",Source,"Source Date","Going Concern",Company,"CIK Code",Ticker,"Bus Street 1","Bus Street 2",City,"State Code","State Name","State Region","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
7348,"Revenue from customer contracts","Revenue Recognition	",444898,12/31/20,02/26/21,2,"Ernst & Young LLP",,,,"Redwood City",CA,CALIFORNIA,"US West",10-K,2021-02-26,,"10x Genomics, Inc.",1770787,"=""TXG""","6230 STONERIDGE MALL ROAD",,PLEASANTON,CA,CALIFORNIA,"US West",,,"=""3826""","Laboratory Analytical Instruments",334516,"Analytical Laboratory Instrument Manufacturing",34,142,12/31/20,"12,149,909,504",12/31/20,"298,845,000","-542,731,000",,"929,341,000"
11465,"Revenue from customer contracts","Revenue Recognition— Refer to Note 15 to the financial statements",454848,12/31/20,04/29/21,3,"Deloitte & Touche LLP",499,"Deloitte Touche Tohmatsu Certified Public Accountants LLP",1113,Shanghai,F4,CHINA,Foreign,20-F,2021-04-30,,"111, Inc.",1738906,"=""YI""","3-4/F, NO.295 ZUCHONGZHI ROAD","PUDONG NEW AREA",SHANGHAI,F4,CHINA,Foreign,,,"=""5912""","Drug Stores and Proprietary Stores",446110,"Pharmacies and Drug Stores",34,7,12/29/20,"320,577,696",12/31/20,"1,254,344,000","-69,808,000","194,980,000","462,780,000"
10183,"Allowance for credit losses","Allowance for Credit Losses – Refer to Note 2 to the consolidated financial statements",451129,12/31/20,03/30/21,3,"Deloitte & Touche LLP",,,,Atlanta,GA,GEORGIA,"US Southeast",10-K,2021-03-30,,"1st FRANKLIN FINANCIAL CORP",38723,,"135 E TUGALO ST","P O BOX 880",TOCCOA,GA,GEORGIA,"US Southeast",,,"=""6141""","Personal Credit Institutions",522292,"Real Estate Credit",34,,,,12/31/20,"181,787,312","15,890,262",,"1,013,656,372"
3995,"Long-lived assets","Assessment of impairment of store-level long-lived assets",425799,02/29/20,04/29/20,4,"KPMG LLP",,,,"Short Hills",NJ,"NEW JERSEY","US Mid Atlantic",10-K,2020-04-29,,"20230930-DK-Butterfly-1, Inc.",886158,,"650 LIBERTY AVENUE",,UNION,NJ,"NEW JERSEY","US Mid Atlantic",,,"=""5700""","Retail-Home Furniture, Furnishings & Equipment Stores",442299,"All Other Home Furnishings Stores",34,10,03/02/20,"1,311,503,488",02/29/20,"11,158,580,000","-613,816,000",,"7,790,515,000"
3996,Inventory,"Assessment of the valuation of merchandise inventories",425799,02/29/20,04/29/20,4,"KPMG LLP",,,,"Short Hills",NJ,"NEW JERSEY","US Mid Atlantic",10-K,2020-04-29,,"20230930-DK-Butterfly-1, Inc.",886158,,"650 LIBERTY AVENUE",,UNION,NJ,"NEW JERSEY","US Mid Atlantic",,,"=""5700""","Retail-Home Furniture, Furnishings & Equipment Stores",442299,"All Other Home Furnishings Stores",34,10,03/02/20,"1,311,503,488",02/29/20,"11,158,580,000","-613,816,000",,"7,790,515,000"
6789,"Deferred and capitalized costs","Assessment of capitalized technology costs incurred on software development projects",444106,12/31/20,02/25/21,4,"KPMG LLP",,,,McLean,VA,VIRGINIA,"US Mid Atlantic",10-K,2021-02-25,,"2U, LLC",1459417,,"7900 HARKINS ROAD",,LANHAM,MD,MARYLAND,"US Mid Atlantic",,,"=""7372""","Prepackaged Software",511210,"Software Publishers",34,40,12/29/20,"2,856,809,472",12/31/20,"774,533,000","-216,484,000","212,390,000","1,544,264,000"
4975,"Other contingent liabilities","Legal Proceedings Contingencies",440864,12/31/20,02/04/21,1,"PricewaterhouseCoopers LLP",,,,Minneapolis,MN,MINNESOTA,"US Midwest",10-K,2021-02-04,,"3M CO",66740,"=""MMM""","3M CENTER","BLDG. 220-9E-02","ST PAUL",MN,MINNESOTA,"US Midwest",,,"=""3841""","Surgical and Medical Instruments and Apparatus",322222,"Coated and Laminated Paper Manufacturing",34,175,12/31/20,"84,432,330,752",12/31/20,"32,184,000,000","5,384,000,000","-6,770,000,000","47,344,000,000"
11220,"Other investments","Valuation of the Available-for-Sale Debt Security in Golden Finance",453713,12/31/20,04/23/21,1,"PricewaterhouseCoopers LLP",94,"PricewaterhouseCoopers Zhong Tian LLP",1424,Shanghai,F4,CHINA,Foreign,20-F,2021-04-23,,"51JOB, INC.",1295484,,"TOWER T6, CRYSTAL PLAZA, JIANG YAO ROAD",PUDONG,SHANGHAI,F4,CHINA,Foreign,,,"=""7361""","Employment Agencies",561310,"Employment Placement Agencies",34,70,12/31/20,"4,718,466,048",12/31/20,"564,077,000","167,784,000","1,737,504,000","2,396,966,000"
8383,"Balance sheet classification of debt and equity","Exchange Offer – Refer to Notes 2, 3, and 5 to the financial statements",446271,12/31/20,03/04/21,3,"Deloitte & Touche LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2021-03-04,,"A. M. Castle & Co.",18172,"=""CTAM""","1420 KENSINGTON ROAD","SUITE 220","OAK BROOK",IL,ILLINOIS,"US Midwest",,,"=""5051""","Metals Service Centers and Offices",423510,"Metal Service Centers and Other Metal Merchant Wholesalers",34,3,12/31/20,"22,055,200",12/31/20,"368,253,000","-40,660,000","-22,680,000","289,597,000"
4344,Inventory,"Assessment of the write-down of inventories",429723,05/31/20,07/21/20,4,"KPMG LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2020-07-21,,"AAR CORP",1750,"=""AIR""","1100 N WOOD DALE RD",,"WOOD DALE",IL,ILLINOIS,"US Midwest",,,"=""3720""","Aircraft & Parts",334613,"Magnetic and Optical Recording Media Manufacturing",34,20,05/31/20,"707,913,536",05/31/20,"2,072,000,000","4,400,000","780,900,000","2,079,000,000"
4345,"Revenue from customer contracts","Evaluation of the key inputs and assumptions used in the estimation of costs at completion of the performance obligations",429723,05/31/20,07/21/20,4,"KPMG LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2020-07-21,,"AAR CORP",1750,"=""AIR""","1100 N WOOD DALE RD",,"WOOD DALE",IL,ILLINOIS,"US Midwest",,,"=""3720""","Aircraft & Parts",334613,"Magnetic and Optical Recording Media Manufacturing",34,20,05/31/20,"707,913,536",05/31/20,"2,072,000,000","4,400,000","780,900,000","2,079,000,000"
6088,"Other contingent liabilities","Estimated claims liabilities	",443057,12/31/20,02/23/21,2,"Ernst & Young LLP",,,,Atlanta,GA,GEORGIA,"US Southeast",10-K,2021-02-23,,"Aaron's Company, Inc.",1821393,,"400 GALLERIA PARKWAY SE, SUITE 300",,ATLANTA,GA,GEORGIA,"US Southeast",,,"=""7359""","Equipment Rental and Leasing, NEC",532210,"Consumer Electronics and Appliances Rental",34,19,12/31/20,"648,525,120",12/31/20,"1,734,919,000","-265,912,000","694,659,000","1,353,457,000"
6089,Leases,"Allowance for lease merchandise write-offs",443057,12/31/20,02/23/21,2,"Ernst & Young LLP",,,,Atlanta,GA,GEORGIA,"US Southeast",10-K,2021-02-23,,"Aaron's Company, Inc.",1821393,,"400 GALLERIA PARKWAY SE, SUITE 300",,ATLANTA,GA,GEORGIA,"US Southeast",,,"=""7359""","Equipment Rental and Leasing, NEC",532210,"Consumer Electronics and Appliances Rental",34,19,12/31/20,"648,525,120",12/31/20,"1,734,919,000","-265,912,000","694,659,000","1,353,457,000"
7618,"Revenue from customer contracts","Revenue recognition for long-term fixed price contracts using the percentage-of-completion method ",443977,12/31/20,02/25/21,4,"KPMG LLP",288,"KPMG AG",3240,Zurich,V8,SWITZERLAND,Foreign,20-F,2021-02-26,,"ABB LTD",1091587,"=""ABBNY""","PO BOX 8131",*,ZURICH,V8,SWITZERLAND,Foreign,,,"=""3613""","Switchgear and Switchboard Apparatus",335311,"Power, Distribution, and Specialty Transformer Manufacturing",34,28,12/31/20,"56,782,123,008",12/31/20,"26,134,000,000","5,146,000,000","2,757,000,000","41,088,000,000"
7619,"Other income taxes","Valuation of unrecognized tax benefits related to transfer pricing",443977,12/31/20,02/25/21,4,"KPMG LLP",288,"KPMG AG",3240,Zurich,V8,SWITZERLAND,Foreign,20-F,2021-02-26,,"ABB LTD",1091587,"=""ABBNY""","PO BOX 8131",*,ZURICH,V8,SWITZERLAND,Foreign,,,"=""3613""","Switchgear and Switchboard Apparatus",335311,"Power, Distribution, and Specialty Transformer Manufacturing",34,28,12/31/20,"56,782,123,008",12/31/20,"26,134,000,000","5,146,000,000","2,757,000,000","41,088,000,000"
7620,Goodwill,"Valuation of goodwill for the Machine Automation reporting unit",443977,12/31/20,02/25/21,4,"KPMG LLP",288,"KPMG AG",3240,Zurich,V8,SWITZERLAND,Foreign,20-F,2021-02-26,,"ABB LTD",1091587,"=""ABBNY""","PO BOX 8131",*,ZURICH,V8,SWITZERLAND,Foreign,,,"=""3613""","Switchgear and Switchboard Apparatus",335311,"Power, Distribution, and Specialty Transformer Manufacturing",34,28,12/31/20,"56,782,123,008",12/31/20,"26,134,000,000","5,146,000,000","2,757,000,000","41,088,000,000"
7621,"Equity investments and joint ventures","Valuation of the retained noncontrolling interest in the Power Grids business",443977,12/31/20,02/25/21,4,"KPMG LLP",288,"KPMG AG",3240,Zurich,V8,SWITZERLAND,Foreign,20-F,2021-02-26,,"ABB LTD",1091587,"=""ABBNY""","PO BOX 8131",*,ZURICH,V8,SWITZERLAND,Foreign,,,"=""3613""","Switchgear and Switchboard Apparatus",335311,"Power, Distribution, and Specialty Transformer Manufacturing",34,28,12/31/20,"56,782,123,008",12/31/20,"26,134,000,000","5,146,000,000","2,757,000,000","41,088,000,000"
5842,"Other income taxes","Income taxes – Unrecognized tax benefits",442771,12/31/20,02/19/21,2,"Ernst & Young LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2021-02-19,,"ABBOTT LABORATORIES",1800,"=""ABT""","100 ABBOTT PARK ROAD",,"ABBOTT PARK",IL,ILLINOIS,"US Midwest",,,"=""2834""","Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,109,12/31/20,"193,932,001,280",12/31/20,"34,608,000,000","4,495,000,000","-5,744,000,000","72,548,000,000"
5814,"Sales return and allowances","Sales rebate accruals for Medicaid, Medicare and managed care programs	",442621,12/31/20,02/19/21,2,"Ernst & Young LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2021-02-19,,"AbbVie Inc.",1551152,"=""ABBV""","1 NORTH WAUKEGAN ROAD",,"NORTH CHICAGO",IL,ILLINOIS,"US Midwest",,,"=""2834""","Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,107,12/31/20,"189,133,979,648",12/31/20,"45,804,000,000","4,616,000,000","-102,924,000,000","150,565,000,000"
5815,"Business combinations","Valuation of contingent consideration	",442621,12/31/20,02/19/21,2,"Ernst & Young LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2021-02-19,,"AbbVie Inc.",1551152,"=""ABBV""","1 NORTH WAUKEGAN ROAD",,"NORTH CHICAGO",IL,ILLINOIS,"US Midwest",,,"=""2834""","Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,107,12/31/20,"189,133,979,648",12/31/20,"45,804,000,000","4,616,000,000","-102,924,000,000","150,565,000,000"
