"CAM Key","CAM Topic","CAM Company Title","Audit Opinion Key","Year Ended Date","Signature Date","Auditor Key",Auditor,"Auditor Affiliate Key","Auditor Affiliate","Auditor Affiliate PCAOB","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region",Source,"Source Date","Going Concern",Company,"CIK Code",Ticker,"Bus Street 1","Bus Street 2",City,"State Code","State Name","State Region","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
32937,"Revenue from customer contracts","Revenue Recognition",524816,12/31/23,02/15/24,2,"Ernst & Young LLP",,,,"San Jose",CA,CALIFORNIA,"US West",10-K,2024-02-15,,"10x Genomics, Inc.",1770787,"=""TXG""","6230 STONERIDGE MALL ROAD",,PLEASANTON,CA,CALIFORNIA,"US West",,,"=""3826""","Laboratory Analytical Instruments",334516,"Analytical Laboratory Instrument Manufacturing",34,56,12/31/23,"5,877,956,096",12/31/23,"618,727,000","-255,099,000","719,916,000","965,143,000"
38291,"Revenue from customer contracts","Revenue Recognition— Refer to Note 2(m) and Note 13 to the financial statements",536107,12/31/23,05/14/24,3,"Deloitte & Touche LLP",499,"Deloitte Touche Tohmatsu Certified Public Accountants LLP",1113,Shanghai,F4,CHINA,Foreign,20-F,2024-05-14,Yes,"111, Inc.",1738906,"=""YI""","3-4/F, NO.295 ZUCHONGZHI ROAD","PUDONG NEW AREA",SHANGHAI,F4,CHINA,Foreign,,,"=""5912""","Drug Stores and Proprietary Stores",446110,"Pharmacies and Drug Stores",34,2,01/02/24,"137,803,568",12/31/23,"2,107,686,000","-55,370,000","40,202,000","435,554,000"
37216,"Allowance for credit losses","Allowance for Credit Losses – Refer to Note 2 to the consolidated financial statements",532349,12/31/23,04/01/24,3,"Deloitte & Touche LLP",,,,Atlanta,GA,GEORGIA,"US Southeast",10-K,2024-04-01,,"1st FRANKLIN FINANCIAL CORP",38723,,"135 E TUGALO ST","P O BOX 880",TOCCOA,GA,GEORGIA,"US Southeast",,,"=""6141""","Personal Credit Institutions",522292,"Real Estate Credit",34,,,,12/31/23,"204,573,713","530,089",,"1,240,296,760"
30368,"Long-lived assets","Impairments of Long-Lived Assets",513463,02/25/23,06/13/23,4,"KPMG LLP",,,,"New York",NY,"NEW YORK","US Mid Atlantic",10-K,2023-06-14,Yes,"20230930-DK-Butterfly-1, Inc.",886158,,"650 LIBERTY AVENUE",,UNION,NJ,"NEW JERSEY","US Mid Atlantic",,,"=""5700""","Retail-Home Furniture, Furnishings & Equipment Stores",442299,"All Other Home Furnishings Stores",34,1,02/28/23,"365,236,544",02/25/23,"5,344,685,000","-3,498,801,000",,"2,225,217,000"
35487,"Revenue from customer contracts","Determination of implied pricing concessions",528454,12/31/23,03/06/24,4,"KPMG LLP",,,,McLean,VA,VIRGINIA,"US Mid Atlantic",10-K,2024-03-06,Yes,"2U, LLC",1459417,,"7900 HARKINS ROAD",,LANHAM,MD,MARYLAND,"US Mid Atlantic",,,"=""7372""","Prepackaged Software",511210,"Software Publishers",34,1,01/02/24,"96,020,920",12/31/23,"945,953,000","-317,607,000","-803,651,000","1,459,683,000"
35488,"Goodwill and intangible assets","Impairment of goodwill and indefinite-lived intangible asset",528454,12/31/23,03/06/24,4,"KPMG LLP",,,,McLean,VA,VIRGINIA,"US Mid Atlantic",10-K,2024-03-06,Yes,"2U, LLC",1459417,,"7900 HARKINS ROAD",,LANHAM,MD,MARYLAND,"US Mid Atlantic",,,"=""7372""","Prepackaged Software",511210,"Software Publishers",34,1,01/02/24,"96,020,920",12/31/23,"945,953,000","-317,607,000","-803,651,000","1,459,683,000"
32423,"Other contingent liabilities","Legal Proceedings",524155,12/31/23,02/07/24,1,"PricewaterhouseCoopers LLP",,,,Minneapolis,MN,MINNESOTA,"US Midwest",10-K,2024-02-07,,"3M CO",66740,"=""MMM""","3M CENTER","BLDG. 220-9E-02","ST PAUL",MN,MINNESOTA,"US Midwest",,,"=""3841""","Surgical and Medical Instruments and Apparatus",322222,"Coated and Laminated Paper Manufacturing",34,110,01/02/24,"60,754,874,368",12/31/23,"24,610,000,000","-6,995,000,000","-12,346,000,000","50,580,000,000"
35279,"Uncertain tax positions","Assessment of an uncertain tax position",527917,12/31/23,03/01/24,4,"KPMG LLP",,,,"San Francisco",CA,CALIFORNIA,"US West",10-K,2024-03-01,,"89bio, Inc.",1785173,"=""ETNB""","655 MONTGOMERY STREET","SUITE 1500","SAN FRANCISCO",CA,CALIFORNIA,"US West",,,"=""2834""","Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,11,12/31/23,"1,041,818,944",12/31/23,,"-142,189,000",,"596,269,000"
30697,Inventory,"Assessment of the write-down of inventories",514785,05/31/23,07/18/23,4,"KPMG LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2023-07-18,,"AAR CORP",1750,"=""AIR""","1100 N WOOD DALE RD",,"WOOD DALE",IL,ILLINOIS,"US Midwest",,,"=""3720""","Aircraft & Parts",334613,"Magnetic and Optical Recording Media Manufacturing",34,50,05/31/23,"1,749,618,176",05/31/23,"1,990,500,000","90,200,000","859,600,000","1,833,100,000"
30698,"Revenue from customer contracts","Evaluation of the estimate of costs at completion of certain performance obligations",514785,05/31/23,07/18/23,4,"KPMG LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2023-07-18,,"AAR CORP",1750,"=""AIR""","1100 N WOOD DALE RD",,"WOOD DALE",IL,ILLINOIS,"US Midwest",,,"=""3720""","Aircraft & Parts",334613,"Magnetic and Optical Recording Media Manufacturing",34,50,05/31/23,"1,749,618,176",05/31/23,"1,990,500,000","90,200,000","859,600,000","1,833,100,000"
34871,"Other contingent liabilities","Estimated claims liabilities costs",527515,12/31/23,02/29/24,2,"Ernst & Young LLP",,,,Atlanta,GA,GEORGIA,"US Southeast",10-K,2024-02-29,,"Aaron's Company, Inc.",1821393,,"400 GALLERIA PARKWAY SE, SUITE 300",,ATLANTA,GA,GEORGIA,"US Southeast",,,"=""7359""","Equipment Rental and Leasing, NEC",532210,"Consumer Electronics and Appliances Rental",34,11,01/02/24,"343,630,816",12/31/23,"2,139,890,000","2,823,000","522,230,000","1,826,576,000"
