Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"Banco Santander, S.A.",891478,SAN,NYSE,132617929,"CIUDAD GRUPO SANTANDER","BOADILLA DEL MONTE",MADRID,,U3,SPAIN,Foreign,28660,"34 91 289 32 80",U3,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Auditores SL",117,SPAIN,"122,696,431","7,099,118",0,0,"828,230",,,"2,839,647","10,766,996","133,463,427",USD,Uncertain,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-01,3.29,2021-12-29,"57,050,710,016",2021-12-31,"42,938,000,000","8,987,000,000","437,166,000,000","1,814,789,000,000"
"HSBC HOLDINGS PLC",1089113,HSBC,NYSE,000000000,"8 CANADA SQUARE",,LONDON,,X0,"UNITED KINGDOM",Foreign,E145HQ,442079913048,X0,,,6035,"Savings Institutions, Federally Chartered",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP",121,"UNITED KINGDOM","88,100,000","18,700,000","382,000",0,0,,,"22,600,000","41,682,000","129,782,000",USD,Yes,,0,2021-12-31,2021,12,1231,,,20-F,2022-02-23,30.22,2021-12-29,"125,072,580,608",2021-12-31,"64,868,000,000","14,693,000,000","177,628,000,000","2,957,939,000,000"
"MITSUBISHI UFJ FINANCIAL GROUP INC",67088,MUFG,NYSE,000000000,"4-5, MARUNOUCHI 1-CHOME",CHIYODA-KU,TOKYO,,M0,JAPAN,Foreign,100-8330,"(212) 530-1784",M0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"Deloitte & Touche LLP",3,"Deloitte Touche Tohmatsu LLC",19,JAPAN,"83,711,621","2,405,777",0,0,"801,926",,,"509,459","3,717,162","87,428,783",USD,Yes,,0,2021-03-31,2021,03,0331,,,20-F,2021-07-09,5.66,2021-03-29,"76,874,088,448",2021-03-31,"39,113,000,000","10,111,000,000","127,648,000,000","3,202,033,000,000"
"CREDIT SUISSE GROUP AG",1159510,,PINX,000000000,"PARADEPLATZ 8",,ZURICH,,V8,SWITZERLAND,Foreign,*,"1 919 994 1161",V8,,,6211,"Security Brokers, Dealers, and Flotation Companies",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers AG",119,SWITZERLAND,"75,704,968","2,953,807",0,0,"328,201",,,0,"3,282,007","78,986,975",USD,Yes,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-10,9.63,2021-12-29,"23,171,174,400",2021-12-31,"20,295,000,000","-1,811,000,000","44,736,000,000","829,537,000,000"
"GOLDMAN SACHS GROUP INC",886982,GS,NYSE,134019460,"200 WEST STREET",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10282,"(212) 902-1000",DE,,,6211,"Security Brokers, Dealers, and Flotation Companies",523110,"Investment Banking and Securities Dealing",34,"PricewaterhouseCoopers LLP",1,,,,"73,800,000","13,400,000",0,0,"1,000,000","400,000","600,000",0,"14,400,000","88,200,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-18,386.2,2021-12-29,"129,297,047,552",2021-12-31,"58,982,000,000","21,635,000,000",,"1,463,988,000,000"
"CITIGROUP INC",831001,C,NYSE,521568099,"388 GREENWICH STREET",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10013,"(212) 559-1000",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"72,900,000","21,300,000",0,0,"5,900,000","5,900,000",,"10,393","27,210,393","100,110,393",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-15,60.39,2021-12-31,"119,835,213,824",2021-12-31,"75,206,000,000","21,952,000,000","176,178,000,000","2,291,413,000,000"
"BARCLAYS PLC",312069,BCS,NYSE,000000000,"1 CHURCHILL PLACE","CANARY WHARF",LONDON,,X0,"UNITED KINGDOM",Foreign,"E14 5HP",00442031340952,X0,,,6029,"Commercial Banks, NEC",521110,"Monetary Authorities - Central Bank",34,"KPMG LLP",4,"KPMG LLP",87,"UNITED KINGDOM","68,787,554","13,757,511",0,0,0,,,"2,751,502","16,509,013","85,296,567",USD,Yes,,0,2021-12-31,2021,12,1231,,,20-F,2022-02-23,10.37,2021-12-29,"44,416,798,720",2021-12-31,"33,589,000,000","9,557,000,000","82,841,000,000","1,874,963,000,000"
"JPMORGAN CHASE & CO",19617,JPM,NYSE,132624428,"383 MADISON AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10017,"(212) 270-6000",DE,,,6021,"National Commercial Banks",523110,"Investment Banking and Securities Dealing",34,"PricewaterhouseCoopers LLP",1,,,,"63,900,000","26,500,000",0,0,"4,100,000","3,800,000","2,500,000",0,"30,600,000","94,500,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-04-04,158.56,2021-12-29,"468,586,987,520",2021-12-31,"130,905,000,000","48,334,000,000","237,436,000,000","3,743,567,000,000"
"DEUTSCHE BANK AKTIENGESELLSCHAFT",1159508,DB,NYSE,000000000,"TAUNUSANLAGE 12","1 COLUMBUS CIRCLE, 19TH FLOOR","FRANKFURT AM MAIN",,2M,GERMANY,Foreign,60325,"(212) 250-1306",2M,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"Ernst & Young LLP",2,"Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft (Inactive)",271,GERMANY,"63,892,066","9,465,491",0,0,"1,183,186",,,"1,183,186","11,831,864","75,723,930",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-14,12.59,2021-12-29,"26,003,726,336",2021-12-31,"28,347,000,000","2,790,000,000","68,352,000,000","1,506,458,000,000"
"UBS Group AG",1610520,UBS,NYSE,,"BAHNHOFSTRASSE 45",,ZURICH,,V8,SWITZERLAND,Foreign,CH-8001,41-44-234-1111,V8,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"Ernst & Young LLP",2,"Ernst & Young LTD",160,SWITZERLAND,"61,000,000","9,000,000",0,0,"1,000,000",,,0,"10,000,000","71,000,000",USD,Yes,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-07,18.04,2021-12-29,"69,617,360,896",2021-12-31,"37,527,000,000","7,457,000,000","54,284,000,000","1,117,181,000,000"
