Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"Banco Santander, S.A.",891478,SAN,NYSE,132617929,"CIUDAD GRUPO SANTANDER","BOADILLA DEL MONTE",MADRID,,U3,SPAIN,Foreign,28660,"34 91 289 32 80",U3,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,,,,"109,384,676","6,850,815",0,0,"913,442",,,"1,370,163","9,134,420","118,519,096",USD,Uncertain,,0,2020-12-31,2020,12,1231,,,20-F,2021-02-26,3.12,2020-12-29,"54,102,892,544",2020-12-31,"38,991,000,000","-11,001,000,000","432,293,000,000","1,845,428,000,000"
"HSBC HOLDINGS PLC",1089113,HSBC,NYSE,000000000,"8 CANADA SQUARE",,LONDON,,X0,"UNITED KINGDOM",Foreign,E145HQ,442079913048,X0,,,6035,"Savings Institutions, Federally Chartered",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP",121,"UNITED KINGDOM","92,900,000","17,200,000","316,000",0,0,,,0,"17,516,000","110,416,000",USD,Yes,,0,2020-12-31,2020,12,1231,,,20-F,2021-02-24,25.82,2020-12-29,"106,577,338,368",2020-12-31,"54,257,000,000","6,099,000,000","176,000,000,000","2,984,164,000,000"
"MITSUBISHI UFJ FINANCIAL GROUP INC",67088,MUFG,NYSE,000000000,"4-5, MARUNOUCHI 1-CHOME",CHIYODA-KU,TOKYO,,M0,JAPAN,Foreign,100-8330,"(212) 530-1784",M0,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,"Deloitte & Touche LLP",3,"Deloitte Touche Tohmatsu LLC",19,JAPAN,"78,798,496","2,291,082",0,0,"1,076,533",,,"3,864,476","7,232,090","86,030,592",USD,Yes,,0,2020-03-31,2020,03,0331,,,20-F,2020-07-10,3.6,2020-04-02,"49,203,974,144",2020-03-31,"32,169,000,000","2,834,000,000","122,822,000,000","3,073,070,000,000"
"JPMORGAN CHASE & CO",19617,JPM,NYSE,132624428,"383 MADISON AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10017,"(212) 270-6000",DE,,,6021,"National Commercial Banks",523110,"Investment Banking and Securities Dealing",34,"PricewaterhouseCoopers LLP",1,,,,"75,100,000","27,300,000",0,0,"2,700,000","2,500,000","200,000",0,"30,000,000","105,100,000",USD,Yes,,0,2020-12-31,2020,12,1231,"S&P 500","Russell 1000","DEF 14A",2021-04-07,125.01,2020-12-29,"381,055,860,736",2020-12-31,"102,471,000,000","29,131,000,000","225,926,000,000","3,386,071,000,000"
"CITIGROUP INC",831001,C,NYSE,521568099,"388 GREENWICH STREET",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10013,"(212) 559-1000",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"70,600,000","23,000,000",0,0,"5,000,000","5,000,000",,"10,393","28,010,393","98,610,393",USD,Yes,,0,2020-12-31,2020,12,1231,"S&P 500","Russell 1000","DEF 14A",2021-03-17,61.66,2020-12-31,"128,381,624,320",2020-12-31,"56,418,000,000","11,047,000,000","172,533,000,000","2,260,090,000,000"
"GOLDMAN SACHS GROUP INC",886982,GS,NYSE,134019460,"200 WEST STREET",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10282,"(212) 902-1000",DE,,,6211,"Security Brokers, Dealers, and Flotation Companies",523110,"Investment Banking and Securities Dealing",34,"PricewaterhouseCoopers LLP",1,,,,"69,500,000","13,000,000",0,0,"1,500,000","1,000,000","500,000",0,"14,500,000","84,000,000",USD,,,0,2020-12-31,2020,12,1231,"S&P 500","Russell 1000","DEF 14A",2021-03-19,258.01,2020-12-29,"88,772,927,488",2020-12-31,"41,462,000,000","9,459,000,000",,"1,163,028,000,000"
"UBS Group AG",1610520,UBS,NYSE,,"BAHNHOFSTRASSE 45",,ZURICH,,V8,SWITZERLAND,Foreign,CH-8001,41-44-234-1111,V8,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"Ernst & Young LLP",2,,,,"64,000,000","8,000,000",0,0,"1,000,000",,,0,"9,000,000","73,000,000",USD,Yes,,0,2020-12-31,2020,12,1231,,,20-F,2021-03-05,14.11,2020-12-29,"54,451,269,632",2020-12-31,"34,165,000,000","6,557,000,000","52,966,000,000","1,125,765,000,000"
"METLIFE INC",1099219,MET,NYSE,134075851,"200 PARK AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10166,"(212) 578-5500",DE,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"Deloitte & Touche LLP",3,,,,"62,700,000","8,400,000",0,0,"4,500,000","3,500,000","1,000,000","4,400,000","17,300,000","80,000,000",USD,Yes,,0,2020-12-31,2020,12,1231,"S&P 500","Russell 1000","DEF 14A",2021-04-29,46.95,2020-12-31,"41,922,154,496",2020-12-31,"67,842,000,000","5,407,000,000","64,446,000,000","795,146,000,000"
"CREDIT SUISSE GROUP AG",1159510,,PINX,000000000,"PARADEPLATZ 8",,ZURICH,,V8,SWITZERLAND,Foreign,*,"1 919 994 1161",V8,,,6211,"Security Brokers, Dealers, and Flotation Companies",522110,"Commercial Banking",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers AG",119,SWITZERLAND,"61,954,153","2,665,841",0,0,"213,267",,,0,"2,879,109","64,833,262",USD,Yes,,0,2020-12-31,2020,12,1231,,,20-F,2021-03-18,12.79,2020-12-29,"31,159,635,968",2020-12-31,"24,088,000,000","3,019,000,000","43,004,000,000","926,483,000,000"
"GENERAL ELECTRIC CO",40545,GE,NYSE,140689340,"1 NEUMANN WAY",,EVENDALE,Hamilton,OH,OHIO,"US Midwest",45215,"(617) 443-3000",NY,,,3600,"Electronic & Other Electrical Equipment (No Computer Equip)",333611,"Turbine and Turbine Generator Set Units Manufacturing",34,"KPMG LLP",4,,,,"61,600,000","14,600,000",0,0,"400,000",,,0,"15,000,000","76,600,000",USD,No,,0,2020-12-31,2020,12,1231,"S&P 500","Russell 1000","DEF 14A",2021-03-22,10.8,2020-12-31,"58,915,069,952",2020-12-31,"79,619,000,000","5,702,000,000","253,000,000","253,451,000,000"
