"CAM Key","CAM Topic","CAM Company Title","Audit Opinion Key","Year Ended Date","Signature Date","Auditor Key",Auditor,"Auditor Affiliate Key","Auditor Affiliate","Auditor Affiliate PCAOB","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region",Source,"Source Date","Going Concern",Company,"CIK Code",Ticker,"Bus Street 1","Bus Street 2",City,"State Code","State Name","State Region","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
41172,"Revenue from customer contracts","Revenue Recognition",551159,12/31/24,02/12/25,2,"Ernst & Young LLP",,,,"San Jose",CA,CALIFORNIA,"US West",10-K,2025-02-13,,"10x Genomics, Inc.",1770787,"=""TXG""","6230 STONERIDGE MALL ROAD",,PLEASANTON,CA,CALIFORNIA,"US West",,,"=""3826""","Laboratory Analytical Instruments",334516,"Analytical Laboratory Instrument Manufacturing",34,14,12/31/24,"1,554,254,720",12/31/24,"610,785,000","-182,627,000","689,952,000","918,636,000"
47163,"Allowance for credit losses","Allowance for Credit Losses – Refer to Note 2 to the consolidated financial statements",563542,12/31/24,04/29/25,3,"Deloitte & Touche LLP",,,,Atlanta,GA,GEORGIA,"US Southeast",10-K,2025-04-30,,"1st FRANKLIN FINANCIAL CORP",38723,,"135 E TUGALO ST","P O BOX 880",TOCCOA,GA,GEORGIA,"US Southeast",,,"=""6141""","Personal Credit Institutions",522292,"Real Estate Credit",34,,,,12/31/24,"223,258,804","-5,605,372",,"1,311,663,070"
46783,"Other investments","Valuation of Investments Accounted for at Fair Value",561805,12/31/24,04/17/25,1,"PricewaterhouseCoopers LLP",94,"PricewaterhouseCoopers Zhong Tian LLP",1424,Beijing,F4,CHINA,Foreign,20-F,2025-04-17,,"36Kr Holdings Inc.",1779476,"=""KRKR""","BUILDING B6, UNIVERSAL BUSINESS PARK","NO. 10 JIUXIANQIAO ROAD","CHAOYANG DISTRICT, BEIJING",F4,CHINA,Foreign,,,"=""7389""","Business Services, NEC",541890,"Other Services Related to Advertising",34,3,01/02/25,"5,274,359",12/31/24,"31,657,000","-18,803,000","15,965,000","37,839,000"
46784,"Allowance for credit losses","Allowance for Credit Losses on Accounts Receivable",561805,12/31/24,04/17/25,1,"PricewaterhouseCoopers LLP",94,"PricewaterhouseCoopers Zhong Tian LLP",1424,Beijing,F4,CHINA,Foreign,20-F,2025-04-17,,"36Kr Holdings Inc.",1779476,"=""KRKR""","BUILDING B6, UNIVERSAL BUSINESS PARK","NO. 10 JIUXIANQIAO ROAD","CHAOYANG DISTRICT, BEIJING",F4,CHINA,Foreign,,,"=""7389""","Business Services, NEC",541890,"Other Services Related to Advertising",34,3,01/02/25,"5,274,359",12/31/24,"31,657,000","-18,803,000","15,965,000","37,839,000"
45746,"Revenue from customer contracts","Revenue - Unobservable Stand-Alone Selling Price Determination — Refer to Note 5 to the financial statements",559188,12/31/24,03/26/25,3,"Deloitte & Touche LLP",,,,Charlotte,NC,"NORTH CAROLINA","US Southeast",10-K,2025-03-27,,"3D SYSTEMS CORP",910638,"=""DDD""","333 THREE D SYSTEMS CIRCLE",,"ROCK HILL",SC,"SOUTH CAROLINA","US Southeast",,,"=""7372""","Prepackaged Software",511210,"Software Publishers",34,3,12/31/24,"444,472,800",12/31/24,"440,121,000","-255,593,000","145,252,000","608,846,000"
45747,"Revenue from customer contracts","Revenue from Collaboration Agreements – Refer to Note 5 to the financial statements",559188,12/31/24,03/26/25,3,"Deloitte & Touche LLP",,,,Charlotte,NC,"NORTH CAROLINA","US Southeast",10-K,2025-03-27,,"3D SYSTEMS CORP",910638,"=""DDD""","333 THREE D SYSTEMS CIRCLE",,"ROCK HILL",SC,"SOUTH CAROLINA","US Southeast",,,"=""7372""","Prepackaged Software",511210,"Software Publishers",34,3,12/31/24,"444,472,800",12/31/24,"440,121,000","-255,593,000","145,252,000","608,846,000"
45748,"Long-lived assets","Goodwill, Intangible Assets and Long-Lived Assets Impairment Charges — Refer to Notes 2, 7, 8 and 9 to the financial statements",559188,12/31/24,03/26/25,3,"Deloitte & Touche LLP",,,,Charlotte,NC,"NORTH CAROLINA","US Southeast",10-K,2025-03-27,,"3D SYSTEMS CORP",910638,"=""DDD""","333 THREE D SYSTEMS CIRCLE",,"ROCK HILL",SC,"SOUTH CAROLINA","US Southeast",,,"=""7372""","Prepackaged Software",511210,"Software Publishers",34,3,12/31/24,"444,472,800",12/31/24,"440,121,000","-255,593,000","145,252,000","608,846,000"
40716,"Other contingent liabilities","PFAS-Related Legal Proceedings",548250,12/31/24,02/05/25,1,"PricewaterhouseCoopers LLP",,,,Minneapolis,MN,MINNESOTA,"US Midwest",10-K,2025-02-05,,"3M CO",66740,"=""MMM""","3M CENTER","BLDG. 220-9E-02","ST PAUL",MN,MINNESOTA,"US Midwest",,,"=""3841""","Surgical and Medical Instruments and Apparatus",322222,"Coated and Laminated Paper Manufacturing",34,130,01/02/25,"70,629,253,120",12/31/24,"24,575,000,000","4,173,000,000","-3,649,000,000","39,868,000,000"
40717,"Disposals and divestitures","Tax-Free Determination of the Health Care Spin-Off and Certain Internal Business Separation Transactions",548250,12/31/24,02/05/25,1,"PricewaterhouseCoopers LLP",,,,Minneapolis,MN,MINNESOTA,"US Midwest",10-K,2025-02-05,,"3M CO",66740,"=""MMM""","3M CENTER","BLDG. 220-9E-02","ST PAUL",MN,MINNESOTA,"US Midwest",,,"=""3841""","Surgical and Medical Instruments and Apparatus",322222,"Coated and Laminated Paper Manufacturing",34,130,01/02/25,"70,629,253,120",12/31/24,"24,575,000,000","4,173,000,000","-3,649,000,000","39,868,000,000"
43926,"Research and development expenses","Accrued Clinical Research Organization Costs",554712,12/31/24,02/28/25,1,"PricewaterhouseCoopers LLP",,,,"San Jose",CA,CALIFORNIA,"US West",10-K,2025-02-28,,"4D Molecular Therapeutics, Inc.",1650648,"=""FDMT""","5858 HORTON STREET #455",,EMERYVILLE,CA,CALIFORNIA,"US West",,,"=""2836""","Biological Products, Except Diagnostic Substances",325414,"Biological Product (except Diagnostic) Manufacturing",34,6,12/31/24,"255,072,256",12/31/24,"37,000","-160,868,000",,"560,384,000"
